Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2023-08-28 12:00:00+00:00,2023-08-28 21:00:00+00:00,26013.990495000002,25980.043480000004,-46.972989435331286,-0.25,0 days 09:00:00,Closed
2023-08-29 04:00:00+00:00,2023-08-29 14:00:00+00:00,26096.221589999997,26038.974000000002,-63.47500653267493,-0.34,0 days 10:00:00,Closed
2023-08-30 11:00:00+00:00,2023-08-31 15:00:00+00:00,27449.157719999996,27162.082165,-217.2842371072397,-1.17,1 days 04:00:00,Closed
2023-08-31 22:00:00+00:00,2023-09-01 17:00:00+00:00,26037.582284999997,25776.875115000003,-206.54404382387438,-1.12,0 days 19:00:00,Closed
2023-09-02 00:00:00+00:00,2023-09-02 08:00:00+00:00,25817.942520000004,25782.562270000002,-46.82741065671737,-0.26,0 days 08:00:00,Closed
2023-09-06 20:00:00+00:00,2023-09-07 21:00:00+00:00,25702.38477,25993.236880000004,183.7594868597282,1.01,1 days 01:00:00,Closed
2023-09-12 03:00:00+00:00,2023-09-12 05:00:00+00:00,25221.994694999998,25747.9196,360.5938633209005,1.96,0 days 02:00:00,Closed
2023-09-13 05:00:00+00:00,2023-09-13 17:00:00+00:00,25939.333184999996,26266.909975000002,213.81459383586431,1.14,0 days 12:00:00,Closed
2023-09-15 18:00:00+00:00,2023-09-15 22:00:00+00:00,26351.679254999995,26455.905430000003,52.12443187461716,0.28,0 days 04:00:00,Closed
2023-09-16 05:00:00+00:00,2023-09-18 10:00:00+00:00,26568.55764,26858.86385,184.5557068908842,0.97,2 days 05:00:00,Closed
2023-09-25 16:00:00+00:00,2023-09-26 00:00:00+00:00,26256.851864999997,26291.6476,2.3851299252670017,0.01,0 days 08:00:00,Closed
2023-10-04 09:00:00+00:00,2023-10-04 10:00:00+00:00,27533.689964999998,27616.194995,34.4114750438823,0.18,0 days 01:00:00,Closed
2023-10-14 13:00:00+00:00,2023-10-15 18:00:00+00:00,26906.52654,26968.998755000004,21.521440027461217,0.11,1 days 05:00:00,Closed
2023-10-21 03:00:00+00:00,2023-10-21 16:00:00+00:00,29501.703479999996,29922.401315,250.97756282873317,1.31,0 days 13:00:00,Closed
2023-10-22 10:00:00+00:00,2023-10-23 03:00:00+00:00,29895.36021,30363.03089,281.18573939681136,1.44,0 days 17:00:00,Closed
2023-10-28 02:00:00+00:00,2023-10-28 08:00:00+00:00,33933.048044999996,34027.9775,31.5369054397387,0.16,0 days 06:00:00,Closed
2023-11-01 18:00:00+00:00,2023-11-01 20:00:00+00:00,34527.53514,34540.391165,-16.386317092398514,-0.08,0 days 02:00:00,Closed
2023-11-03 15:00:00+00:00,2023-11-04 02:00:00+00:00,34730.046345,34750.75593,-11.946223103615576,-0.06,0 days 11:00:00,Closed
2023-11-05 23:00:00+00:00,2023-11-06 12:00:00+00:00,34988.895705,35214.833775,103.83499962212622,0.53,0 days 13:00:00,Closed
2023-11-07 18:00:00+00:00,2023-11-07 21:00:00+00:00,34867.424999999996,35600.720735,393.76113072290485,1.98,0 days 03:00:00,Closed
2023-11-10 06:00:00+00:00,2023-11-10 22:00:00+00:00,36772.87725,37247.616875,237.11248210047532,1.17,0 days 16:00:00,Closed
2023-11-17 17:00:00+00:00,2023-11-19 20:00:00+00:00,35996.93947499999,36930.495515,506.70996534584265,2.47,2 days 03:00:00,Closed
2023-11-25 07:00:00+00:00,2023-11-26 14:00:00+00:00,37812.51681,37496.142550000004,-200.8516342491591,-0.96,1 days 07:00:00,Closed
2023-11-26 21:00:00+00:00,2023-11-27 06:00:00+00:00,37607.364284999996,37287.666840000005,-201.7185794307487,-0.97,0 days 09:00:00,Closed
