timestamp,sum_open_interest,sum_open_interest_value
1695315300000,94744.919,2517713579.5384
1695315600000,94706.944,2516535188.0772676
1695315900000,94668.437,2517868018.3579
1695316200000,94588.842,2518091212.626832
1695316500000,94362.005,2515700489.5005
1695316800000,94493.847,2518639611.6292343
1695317100000,94457.438,2514943138.604571
1695317400000,94380.429,2513618814.559139
1695317700000,94352.977,2512024786.828433
1695318000000,94340.645,2512281062.982575
1695318300000,94425.69,2516454081.069
1695318600000,94357.37,2516046545.72676
1695318900000,94321.756,2516787415.348
1695319200000,94247.702,2510561327.8562346
1695319500000,94239.595,2510457995.1645
1695319800000,94342.543,2515662777.6036
1695320100000,94324.927,2512939131.86151
1695320400000,94272.373,2511429561.726474
1695320700000,93916.256,2501102596.7872
1695321000000,93791.347,2497735581.540941
1695321300000,93687.891,2493971658.42
1695321600000,93580.636,2491876721.4757714
1695321900000,93472.551,2488613197.824
1695322200000,93133.429,2476697277.397
1695322500000,93187.585,2479106598.789
1695322800000,93085.655,2475676032.5595565
1695323100000,92938.961,2470577812.4708
1695323400000,92844.319,2466854986.9662
1695323700000,92734.901,2462955509.1491
1695324000000,92801.521,2464724763.3634877
